State,different_from_oregon_flag,metric_nodata_flag,metric,variable,category,category_reporting_flag,category_reporting_note
DE,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
DE,TRUE,FALSE,Cases,Race,White,FALSE,NA
DE,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
DE,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
DE,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
DE,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
DE,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
DE,TRUE,FALSE,Deaths,Race,Asian,TRUE,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
DE,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Delaware reports Asian as a panracial category, including Asian, Pacific Islander, and Native Hawaiian."
DE,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
DE,TRUE,FALSE,Deaths,Race,Two or more races,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
DE,TRUE,FALSE,Deaths,Race,White,FALSE,NA
DE,TRUE,FALSE,Deaths,Race,Some other race,TRUE,"Delaware does not specify if this race category is included under a grouping it labels ""Another/Multiple."""
DE,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
DE,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
FL,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
FL,TRUE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
FL,TRUE,FALSE,Cases,Race,Asian,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Cases,Race,White,FALSE,NA
FL,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
FL,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
FL,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
FL,TRUE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
FL,TRUE,FALSE,Deaths,Race,Asian,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Deaths,Race,Two or more races,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Deaths,Race,White,FALSE,NA
FL,TRUE,FALSE,Deaths,Race,Some other race,TRUE,"Florida includes this race category under a grouping it labels ""Other."""
FL,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
FL,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
GA,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
GA,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
GA,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
GA,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
GA,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
GA,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"Georgia includes this race category under a grouping it labels ""Multiracial/Other."""
GA,TRUE,FALSE,Cases,Race,White,FALSE,NA
GA,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Georgia includes this race category under a grouping it labels ""Multiracial/Other."""
GA,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
GA,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
GA,TRUE,FALSE,Deaths,Race,Asian,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,Two or more races,TRUE,"Georgia includes this race category under a grouping it labels ""Multiracial/Other."""
GA,TRUE,FALSE,Deaths,Race,White,FALSE,NA
GA,TRUE,FALSE,Deaths,Race,Some other race,TRUE,"Georgia includes this race category under a grouping it labels ""Multiracial/Other."""
GA,TRUE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
GA,TRUE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
GU,TRUE,FALSE,Cases,Race,Black or African American,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,Hispanic or Latino,TRUE,"Hispanic or Latino ethnicity, any race. All other race categories are defined as Not Hispanic or Latino."
GU,TRUE,FALSE,Cases,Race,Asian,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,Two or more races,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,White,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Race,Some other race,TRUE,Census does not provide race or ethnicity information for Guam.
GU,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),TRUE,Census does not provide race or ethnicity information for Guam.
