Date,State,metric,variable,category,percent,small_denom_flag,State_Name,oregon_flag,tooltip_text
20200628,AZ,Cases,Ethnicity,Refused/Unknown,0.8615217993602499,FALSE,Arizona,FALSE,"of COVID19 cases in Arizona were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,AZ,Deaths,Race,Black,0.032647267565649396,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Black race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,Asian,0.0120652945351313,TRUE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Asian race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,Pacific Is.,,,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,AI/AN,0.20085166784953867,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of AI/AN race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,Multiracial,,,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Multiracial race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,White,0.49041873669268987,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of White race (as of June 28, 2020)"
20200628,AZ,Deaths,Race,Other,0.0234208658623137,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Other race (as of June 28, 2020)"
20200628,AZ,Deaths,Ethnicity,Hispanic,0.24059616749467708,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,AZ,Deaths,Ethnicity,Not Hispanic,0.759403832505323,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,AZ,Deaths,Ethnicity,Refused/Unknown,0.1270404542228531,FALSE,Arizona,FALSE,"of COVID19 deaths in Arizona were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CA,Cases,Race,Black,0.04417479467017694,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Black race (as of June 28, 2020)"
20200628,CA,Cases,Race,Asian,0.06808617900979562,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Asian race (as of June 28, 2020)"
20200628,CA,Cases,Race,Pacific Is.,0.006301682549240647,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CA,Cases,Race,AI/AN,0.001862497286775569,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CA,Cases,Race,Multiracial,0.007134905019640244,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CA,Cases,Race,White,0.16973932039854642,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of White race (as of June 28, 2020)"
20200628,CA,Cases,Race,Other,0.13642442532156085,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Other race (as of June 28, 2020)"
20200628,CA,Cases,Ethnicity,Hispanic,0.5662761957442637,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CA,Cases,Ethnicity,Not Hispanic,0.43372380425573626,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CA,Cases,Ethnicity,Refused/Unknown,0.47909591861026896,FALSE,California,FALSE,"of COVID19 cases in California were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CA,Deaths,Race,Black,0.09332866398178953,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Black race (as of June 28, 2020)"
20200628,CA,Deaths,Race,Asian,0.1455086674838032,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Asian race (as of June 28, 2020)"
20200628,CA,Deaths,Race,Pacific Is.,0.0038522150236385924,TRUE,California,FALSE,"of COVID19 deaths in California were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CA,Deaths,Race,AI/AN,0.003151812292067939,TRUE,California,FALSE,"of COVID19 deaths in California were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CA,Deaths,Race,Multiracial,0.005953423218350551,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CA,Deaths,Race,White,0.327088075643495,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of White race (as of June 28, 2020)"
20200628,CA,Deaths,Race,Other,0.009980738924881808,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Other race (as of June 28, 2020)"
20200628,CA,Deaths,Ethnicity,Hispanic,0.4111364034319734,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CA,Deaths,Ethnicity,Not Hispanic,0.5888635965680267,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CA,Deaths,Ethnicity,Refused/Unknown,0.03396953248117668,FALSE,California,FALSE,"of COVID19 deaths in California were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CO,Cases,Race,Black,0.06530596987028522,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Black race (as of June 28, 2020)"
20200628,CO,Cases,Race,Asian,0.02968113341557325,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Asian race (as of June 28, 2020)"
20200628,CO,Cases,Race,Pacific Is.,0.004672722515046166,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CO,Cases,Race,AI/AN,0.006504429740944263,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CO,Cases,Race,Multiracial,0.012186460319240403,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CO,Cases,Race,White,0.4145639415348959,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of White race (as of June 28, 2020)"
20200628,CO,Cases,Race,Other,0.010130462412620089,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Other race (as of June 28, 2020)"
20200628,CO,Cases,Ethnicity,Hispanic,0.4565062988299503,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Hispanic ethnicity (as of June 28, 2020)"
20200628,CO,Cases,Ethnicity,Not Hispanic,0.5430451198086053,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Not Hispanic ethnicity (as of June 28, 2020)"
20200628,CO,Cases,Ethnicity,Refused/Unknown,0.20769317034877202,FALSE,Colorado,FALSE,"of COVID19 cases in Colorado were from individuals of Refused/Unknown ethnicity (as of June 28, 2020)"
20200628,CO,Deaths,Race,Black,0.06695598264104154,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Black race (as of June 28, 2020)"
20200628,CO,Deaths,Race,Asian,0.0347179169249845,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Asian race (as of June 28, 2020)"
20200628,CO,Deaths,Race,Pacific Is.,0.0037197768133911966,TRUE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Pacific Is. race (as of June 28, 2020)"
20200628,CO,Deaths,Race,AI/AN,0.0049597024178549285,TRUE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of AI/AN race (as of June 28, 2020)"
20200628,CO,Deaths,Race,Multiracial,0.012399256044637322,TRUE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Multiracial race (as of June 28, 2020)"
20200628,CO,Deaths,Race,White,0.6503409795412275,FALSE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of White race (as of June 28, 2020)"
20200628,CO,Deaths,Race,Other,0.0043397396156230625,TRUE,Colorado,FALSE,"of COVID19 deaths in Colorado were from individuals of Other race (as of June 28, 2020)"
